epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,8671.34,0.774,0.63014,0.92558,0.71888,0.59756,0.66176,0.45304,1.08814,1.16656,1.14401,0.00060753,0.00060753,0.00060753
69,8798.07,0.76167,0.62422,0.93263,0.72871,0.54989,0.62008,0.42852,1.11716,1.3243,1.15311,0.000603031,0.000603031,0.000603031
70,8923.71,0.77701,0.62281,0.92999,0.67954,0.5595,0.62341,0.44776,1.06761,1.20999,1.11996,0.000598531,0.000598531,0.000598531
71,9049.77,0.76372,0.61809,0.9332,0.6893,0.6157,0.65053,0.45196,1.09504,1.16386,1.12651,0.000594031,0.000594031,0.000594031
72,9177,0.75408,0.61204,0.9283,0.72805,0.68632,0.68593,0.48444,1.03644,1.02701,1.11931,0.000589532,0.000589532,0.000589532
73,9304.4,0.76176,0.61444,0.92994,0.63155,0.66206,0.66559,0.45709,1.03968,1.11916,1.12201,0.000585032,0.000585032,0.000585032
74,9430.58,0.75998,0.61247,0.93087,0.74904,0.56388,0.64898,0.44537,1.07634,1.14637,1.14074,0.000580533,0.000580533,0.000580533
75,9557.45,0.7486,0.60935,0.92591,0.71391,0.63256,0.65897,0.46404,1.04253,1.10251,1.13117,0.000576033,0.000576033,0.000576033
76,9684.58,0.77015,0.61361,0.9242,0.68432,0.69432,0.6841,0.48024,1.05259,1.11659,1.12216,0.000571534,0.000571534,0.000571534
77,9810.62,0.75856,0.60516,0.92662,0.77377,0.56139,0.66293,0.46456,1.03525,1.2229,1.10802,0.000567034,0.000567034,0.000567034
78,9936.57,0.73268,0.5968,0.92268,0.73236,0.59947,0.65072,0.44427,1.04071,1.11795,1.13286,0.000562535,0.000562535,0.000562535
79,10063.5,0.75016,0.60448,0.92111,0.67288,0.59657,0.64884,0.44775,1.08882,1.09054,1.15491,0.000558035,0.000558035,0.000558035
80,10188.9,0.74979,0.59724,0.92531,0.65511,0.60883,0.63804,0.45985,1.05186,1.14243,1.13582,0.000553536,0.000553536,0.000553536
81,10315.5,0.73452,0.58515,0.91796,0.72007,0.61673,0.66227,0.4754,1.05774,1.06655,1.13759,0.000549036,0.000549036,0.000549036
82,10442,0.74359,0.5961,0.92064,0.68491,0.61992,0.66143,0.46711,1.06642,1.14371,1.12705,0.000544536,0.000544536,0.000544536
83,10568.4,0.74509,0.59002,0.91842,0.64049,0.6667,0.69536,0.47768,1.0423,1.09652,1.12787,0.000540037,0.000540037,0.000540037
84,10696,0.73471,0.57989,0.91406,0.74494,0.61167,0.66741,0.46056,1.07534,1.13504,1.15064,0.000535537,0.000535537,0.000535537
85,10822.1,0.74691,0.57917,0.915,0.74147,0.63341,0.6862,0.47288,1.05598,1.06766,1.1299,0.000531038,0.000531038,0.000531038
