epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,220.845,0.79243,1.32903,0.68139,0.94123,0,0.71364,0.61594,0.64403,0.43907,0.70892,0.58839,0.61547,0.3664,1.13834,2.01925,1.20934,1.16968,0,0.00040505,0.00040505,0.00040505
58,224.541,0.78617,1.31129,0.66528,0.93841,0,0.76686,0.61057,0.66649,0.46765,0.75625,0.60736,0.65493,0.39345,1.09691,1.81776,1.12343,1.15669,0,0.000396051,0.000396051,0.000396051
59,228.376,0.7694,1.26111,0.64742,0.92672,0,0.67177,0.60882,0.63531,0.44139,0.66459,0.6034,0.62328,0.37256,1.1027,1.89116,1.12648,1.16407,0,0.000387052,0.000387052,0.000387052
60,232.046,0.78338,1.27369,0.64793,0.93464,0,0.64177,0.66386,0.64327,0.4564,0.64826,0.66459,0.63839,0.37656,1.06354,1.91761,1.06886,1.14251,0,0.000378053,0.000378053,0.000378053
61,235.822,0.76787,1.25627,0.63866,0.92798,0,0.66008,0.66586,0.68551,0.4713,0.65958,0.63534,0.65812,0.4027,1.05764,1.8271,1.04782,1.13898,0,0.000369054,0.000369054,0.000369054
62,239.768,0.75822,1.26326,0.62898,0.92175,0,0.69311,0.58168,0.64748,0.45498,0.67954,0.57516,0.63678,0.3806,1.07182,1.91945,1.13621,1.15593,0,0.000360055,0.000360055,0.000360055
63,243.441,0.76186,1.26013,0.62634,0.92491,0,0.73186,0.5917,0.65581,0.45879,0.72123,0.58062,0.63692,0.3875,1.08147,1.87121,1.0986,1.16642,0,0.000351056,0.000351056,0.000351056
64,247.2,0.75673,1.25815,0.62981,0.92294,0,0.78922,0.58164,0.67732,0.47087,0.71068,0.61548,0.66029,0.40219,1.06709,1.76006,1.05913,1.14922,0,0.000342057,0.000342057,0.000342057
65,250.929,0.75919,1.26073,0.62372,0.92268,0,0.69663,0.65374,0.71506,0.49788,0.68822,0.66694,0.70404,0.40636,1.05149,1.76968,0.97647,1.14166,0,0.000333058,0.000333058,0.000333058
66,254.823,0.76434,1.25627,0.62343,0.92165,0,0.73401,0.63803,0.68369,0.47667,0.72212,0.612,0.66731,0.39887,1.08913,1.79417,1.04782,1.16794,0,0.000324058,0.000324058,0.000324058
67,258.449,0.74684,1.23501,0.61331,0.92311,0,0.71787,0.60581,0.66769,0.45843,0.71192,0.6113,0.65115,0.38389,1.08986,1.84949,1.08413,1.16063,0,0.000315059,0.000315059,0.000315059
68,262.134,0.73591,1.23706,0.61757,0.9227,0,0.72858,0.61222,0.6914,0.4751,0.71318,0.60121,0.6642,0.4127,1.07625,1.80309,1.05633,1.16447,0,0.00030606,0.00030606,0.00030606
69,265.845,0.74513,1.22817,0.614,0.91972,0,0.78661,0.56566,0.64979,0.4539,0.79971,0.56455,0.6433,0.38533,1.08976,1.87983,1.09123,1.15391,0,0.000297061,0.000297061,0.000297061
70,269.546,0.74813,1.27067,0.62909,0.92722,0,0.70928,0.63385,0.66956,0.45579,0.72112,0.61231,0.63929,0.38222,1.0824,1.86639,1.0741,1.14982,0,0.000288062,0.000288062,0.000288062
71,273.241,0.74627,1.22926,0.61541,0.92317,0,0.75068,0.60101,0.68822,0.47756,0.73864,0.59215,0.66132,0.4113,1.07853,1.89068,1.04887,1.14883,0,0.000279063,0.000279063,0.000279063
72,276.782,0.74267,1.22328,0.61622,0.92326,0,0.70353,0.6374,0.67944,0.47231,0.70667,0.60867,0.66014,0.39875,1.06996,1.83832,1.04528,1.15693,0,0.000270064,0.000270064,0.000270064
73,280.452,0.73726,1.1955,0.60433,0.91736,0,0.67731,0.62963,0.66344,0.46701,0.72653,0.57685,0.63816,0.38665,1.08148,1.83233,1.09564,1.17019,0,0.000261065,0.000261065,0.000261065
74,284.156,0.75149,1.22816,0.61578,0.91812,0,0.77481,0.60682,0.67066,0.45983,0.77154,0.58713,0.63514,0.37251,1.06531,1.85873,1.09414,1.15908,0,0.000252066,0.000252066,0.000252066
75,287.75,0.72716,1.17557,0.5932,0.91307,0,0.79484,0.58477,0.6463,0.45259,0.79518,0.55946,0.62498,0.37348,1.05385,1.85917,1.16365,1.1409,0,0.000243067,0.000243067,0.000243067
76,291.506,0.72606,1.18936,0.59165,0.9141,0,0.74751,0.56618,0.63794,0.44207,0.74779,0.56071,0.61885,0.36806,1.06429,1.86165,1.13942,1.15875,0,0.000234068,0.000234068,0.000234068
77,295.145,0.71781,1.18287,0.58345,0.91499,0,0.6969,0.65842,0.68818,0.47597,0.74296,0.58977,0.65069,0.39727,1.04239,1.83732,1.01971,1.13938,0,0.000225068,0.000225068,0.000225068
78,299.015,0.7504,1.24178,0.6049,0.92136,0,0.7232,0.60226,0.67936,0.45615,0.71887,0.60512,0.65804,0.39503,1.07164,1.87967,1.14769,1.15059,0,0.000216069,0.000216069,0.000216069
79,302.805,0.71627,1.17185,0.58833,0.90909,0,0.73582,0.61303,0.65755,0.45325,0.7183,0.58802,0.62295,0.37554,1.0563,1.86427,1.1525,1.14466,0,0.00020707,0.00020707,0.00020707
