epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,336.193,0.73997,0.59346,0.94132,0.77764,0.64786,0.69661,0.49971,1.02742,0.98332,1.1734,0.000360055,0.000360055,0.000360055
63,341.377,0.73418,0.58701,0.94324,0.69056,0.72935,0.68679,0.48813,1.02504,0.98063,1.16652,0.000351056,0.000351056,0.000351056
64,346.653,0.73897,0.59948,0.94495,0.72696,0.67062,0.68832,0.49537,1.02932,0.97934,1.17956,0.000342057,0.000342057,0.000342057
65,352.04,0.73733,0.58725,0.94166,0.71431,0.68301,0.69111,0.50281,1.00688,0.95111,1.16743,0.000333058,0.000333058,0.000333058
66,357.366,0.7435,0.57841,0.94139,0.75359,0.63807,0.69559,0.50313,1.02661,0.97843,1.17101,0.000324058,0.000324058,0.000324058
67,362.635,0.72091,0.58284,0.94019,0.72037,0.67165,0.69784,0.51671,1.0311,0.93419,1.16298,0.000315059,0.000315059,0.000315059
68,368.04,0.71333,0.57756,0.94257,0.73376,0.69688,0.71467,0.51602,1.02354,0.92531,1.15914,0.00030606,0.00030606,0.00030606
69,373.449,0.7276,0.57297,0.93708,0.7241,0.68409,0.70551,0.51853,0.99999,0.9185,1.14941,0.000297061,0.000297061,0.000297061
70,378.717,0.73429,0.59488,0.94991,0.72615,0.66175,0.70401,0.50891,0.9934,0.98691,1.14714,0.000288062,0.000288062,0.000288062
71,384.041,0.72003,0.57413,0.94306,0.78114,0.62128,0.70343,0.50307,0.99533,0.99573,1.14894,0.000279063,0.000279063,0.000279063
72,389.57,0.72044,0.57417,0.94032,0.73749,0.64541,0.68141,0.49555,0.99055,0.96401,1.1507,0.000270064,0.000270064,0.000270064
73,394.868,0.70741,0.56249,0.93188,0.74364,0.63748,0.67643,0.48374,1.027,1.02565,1.16661,0.000261065,0.000261065,0.000261065
74,400.082,0.73053,0.57353,0.93706,0.75428,0.63534,0.6863,0.4961,1.01235,0.96862,1.16608,0.000252066,0.000252066,0.000252066
75,405.279,0.71037,0.55704,0.93265,0.71069,0.67692,0.69006,0.49181,1.01752,1.00253,1.15884,0.000243067,0.000243067,0.000243067
76,410.718,0.70415,0.55196,0.93245,0.75802,0.63566,0.69769,0.49221,1.0172,0.98024,1.17741,0.000234068,0.000234068,0.000234068
77,416.03,0.69607,0.53887,0.92936,0.70303,0.71314,0.72409,0.51354,1.00434,0.93887,1.15464,0.000225068,0.000225068,0.000225068
78,421.432,0.72537,0.56103,0.93533,0.77047,0.66323,0.71059,0.51369,0.98352,0.97495,1.15037,0.000216069,0.000216069,0.000216069
79,426.932,0.69343,0.5452,0.92634,0.76354,0.67817,0.70592,0.51094,0.9858,0.95958,1.15383,0.00020707,0.00020707,0.00020707
80,432.138,0.6931,0.53359,0.922,0.75486,0.67066,0.71917,0.51308,0.99072,0.91825,1.15319,0.000198071,0.000198071,0.000198071
81,437.324,0.70343,0.54995,0.92675,0.78233,0.64863,0.70808,0.50872,0.99961,0.90942,1.15234,0.000189072,0.000189072,0.000189072
82,442.617,0.70525,0.54729,0.93024,0.77028,0.67001,0.71566,0.50733,1.00197,0.95644,1.1647,0.000180073,0.000180073,0.000180073
83,448.132,0.70209,0.54098,0.92967,0.75068,0.67386,0.70194,0.50732,0.99543,0.95012,1.16062,0.000171074,0.000171074,0.000171074
84,453.539,0.68426,0.5222,0.92234,0.76604,0.66348,0.6824,0.49668,1.00752,1.00858,1.16739,0.000162075,0.000162075,0.000162075
85,458.851,0.69578,0.53427,0.92543,0.77712,0.64137,0.70191,0.50865,1.0104,0.95638,1.17512,0.000153076,0.000153076,0.000153076
86,464.237,0.67653,0.51231,0.92146,0.79634,0.65352,0.70937,0.51618,0.99268,0.98891,1.1665,0.000144077,0.000144077,0.000144077
87,469.566,0.70546,0.53319,0.92522,0.7729,0.67094,0.70695,0.51492,1.00574,0.95373,1.18042,0.000135077,0.000135077,0.000135077
88,474.945,0.68023,0.52001,0.92422,0.75113,0.6903,0.72072,0.527,0.9886,0.9621,1.16156,0.000126078,0.000126078,0.000126078
89,480.139,0.69564,0.53087,0.9259,0.75285,0.68235,0.7113,0.51649,0.98957,0.95697,1.16538,0.000117079,0.000117079,0.000117079
90,485.595,0.7002,0.52875,0.92526,0.73208,0.69359,0.7014,0.50932,0.98923,0.94607,1.16458,0.00010808,0.00010808,0.00010808
91,494.458,0.63829,0.49112,0.90941,0.77077,0.65351,0.67067,0.49212,1.01658,0.99688,1.18382,9.9081e-05,9.9081e-05,9.9081e-05
92,499.818,0.63882,0.47822,0.90502,0.75212,0.65021,0.68987,0.49096,1.01362,0.94078,1.19403,9.00819e-05,9.00819e-05,9.00819e-05
93,505.219,0.62467,0.46864,0.90248,0.6989,0.70189,0.68865,0.49126,1.01548,0.96286,1.19381,8.10828e-05,8.10828e-05,8.10828e-05
94,510.503,0.60875,0.44951,0.90068,0.72846,0.68253,0.69059,0.4938,1.00852,0.95637,1.18958,7.20837e-05,7.20837e-05,7.20837e-05
95,515.789,0.60289,0.45018,0.89746,0.80264,0.64337,0.69976,0.50571,1.00415,0.939,1.18681,6.30846e-05,6.30846e-05,6.30846e-05
96,521.27,0.60577,0.44111,0.89097,0.80763,0.63822,0.69517,0.49825,1.00135,0.94951,1.18569,5.40855e-05,5.40855e-05,5.40855e-05
97,526.565,0.61454,0.45158,0.89417,0.69269,0.71676,0.70135,0.51023,0.99227,0.92836,1.17354,4.50864e-05,4.50864e-05,4.50864e-05
98,531.875,0.60389,0.44208,0.89336,0.74999,0.67229,0.70127,0.50947,0.99262,0.92246,1.16384,3.60873e-05,3.60873e-05,3.60873e-05
99,537.133,0.5965,0.43889,0.89102,0.74826,0.67885,0.70438,0.51345,0.98489,0.92505,1.16266,2.70882e-05,2.70882e-05,2.70882e-05
100,542.703,0.6003,0.44513,0.89436,0.74497,0.67925,0.70378,0.50922,0.98329,0.93002,1.16902,1.80891e-05,1.80891e-05,1.80891e-05
