epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,243.859,0.88694,0.73204,0.92858,0.74651,0.55256,0.6354,0.44733,1.21055,1.28882,1.15141,0.000351056,0.000351056,0.000351056
64,247.541,0.8833,0.72271,0.9271,0.67002,0.61041,0.64118,0.43981,1.20221,1.2476,1.15495,0.000342057,0.000342057,0.000342057
65,251.245,0.88551,0.71873,0.92762,0.69246,0.61297,0.65006,0.44421,1.19093,1.23431,1.15744,0.000333058,0.000333058,0.000333058
66,255.082,0.88801,0.718,0.92388,0.655,0.61981,0.64847,0.46356,1.17432,1.24315,1.13689,0.000324058,0.000324058,0.000324058
67,258.762,0.85359,0.70553,0.92481,0.62857,0.64484,0.64289,0.46032,1.15456,1.33446,1.12357,0.000315059,0.000315059,0.000315059
68,262.435,0.85297,0.70206,0.92693,0.76671,0.58135,0.67206,0.47799,1.19305,1.28439,1.13526,0.00030606,0.00030606,0.00030606
69,266.088,0.87301,0.69561,0.92382,0.69108,0.61954,0.66214,0.47763,1.16097,1.23121,1.13405,0.000297061,0.000297061,0.000297061
70,269.927,0.87545,0.73438,0.93103,0.69574,0.59442,0.65133,0.4675,1.15597,1.25154,1.11017,0.000288062,0.000288062,0.000288062
71,273.599,0.85593,0.69714,0.92394,0.66304,0.63623,0.67222,0.47254,1.16314,1.23219,1.11733,0.000279063,0.000279063,0.000279063
72,277.362,0.84754,0.68274,0.92076,0.65907,0.62056,0.64114,0.46995,1.15377,1.21589,1.14034,0.000270064,0.000270064,0.000270064
73,280.99,0.84847,0.68124,0.91697,0.70621,0.64227,0.65276,0.46468,1.16498,1.28678,1.14121,0.000261065,0.000261065,0.000261065
74,284.762,0.86422,0.68271,0.91862,0.72461,0.63087,0.65293,0.46758,1.17434,1.25218,1.13801,0.000252066,0.000252066,0.000252066
75,288.461,0.84236,0.67118,0.91605,0.71724,0.62434,0.6471,0.46277,1.17346,1.27581,1.14343,0.000243067,0.000243067,0.000243067
76,292.189,0.83102,0.66084,0.91308,0.65916,0.6145,0.63729,0.45703,1.18052,1.25022,1.14315,0.000234068,0.000234068,0.000234068
77,295.711,0.82163,0.64567,0.91549,0.67151,0.65115,0.65954,0.464,1.1797,1.22176,1.14272,0.000225068,0.000225068,0.000225068
78,299.512,0.86082,0.67293,0.91561,0.74994,0.62387,0.66612,0.47508,1.15783,1.23149,1.14653,0.000216069,0.000216069,0.000216069
79,303.162,0.81967,0.6502,0.91049,0.71684,0.61946,0.63303,0.45237,1.16172,1.28296,1.14554,0.00020707,0.00020707,0.00020707
80,306.787,0.81806,0.64091,0.9063,0.73329,0.64651,0.66434,0.4876,1.14325,1.21709,1.13393,0.000198071,0.000198071,0.000198071
81,310.493,0.85107,0.66898,0.91258,0.70549,0.62012,0.65158,0.47481,1.15456,1.24249,1.13083,0.000189072,0.000189072,0.000189072
82,314.186,0.84469,0.66344,0.91559,0.60092,0.6395,0.62925,0.46471,1.15848,1.25506,1.13522,0.000180073,0.000180073,0.000180073
83,317.903,0.84955,0.66068,0.91437,0.65357,0.61935,0.62901,0.46046,1.15645,1.23615,1.14741,0.000171074,0.000171074,0.000171074
84,321.58,0.82597,0.63403,0.90959,0.61873,0.63795,0.62662,0.44907,1.17274,1.25665,1.14931,0.000162075,0.000162075,0.000162075
85,325.381,0.829,0.63103,0.91297,0.68686,0.64087,0.63612,0.46254,1.16417,1.21252,1.15369,0.000153076,0.000153076,0.000153076
86,329.033,0.80109,0.61649,0.90541,0.73752,0.59706,0.64873,0.46469,1.17566,1.20848,1.14943,0.000144077,0.000144077,0.000144077
87,332.668,0.84055,0.65426,0.90801,0.69797,0.66633,0.66781,0.47697,1.16786,1.20753,1.14492,0.000135077,0.000135077,0.000135077
88,336.297,0.80897,0.62575,0.90676,0.65533,0.67546,0.66767,0.47227,1.16631,1.22472,1.14689,0.000126078,0.000126078,0.000126078
89,339.93,0.82557,0.64196,0.90761,0.66375,0.6417,0.63979,0.45744,1.16478,1.24434,1.14401,0.000117079,0.000117079,0.000117079
90,343.618,0.83587,0.64647,0.90609,0.68417,0.62701,0.64215,0.4616,1.16898,1.23084,1.14991,0.00010808,0.00010808,0.00010808
91,350.793,0.71983,0.54785,0.884,0.68262,0.61014,0.6407,0.45747,1.15947,1.26674,1.14375,9.9081e-05,9.9081e-05,9.9081e-05
92,354.63,0.72237,0.53069,0.88245,0.7056,0.65777,0.6682,0.47609,1.16798,1.21268,1.15068,9.00819e-05,9.00819e-05,9.00819e-05
93,358.058,0.71101,0.52662,0.87988,0.7594,0.63287,0.6779,0.48404,1.16062,1.22459,1.14526,8.10828e-05,8.10828e-05,8.10828e-05
94,361.493,0.69646,0.49648,0.87561,0.71485,0.63996,0.68196,0.4873,1.16763,1.20819,1.14684,7.20837e-05,7.20837e-05,7.20837e-05
95,365.051,0.68586,0.49869,0.87661,0.72844,0.63974,0.67885,0.48428,1.1711,1.20564,1.1501,6.30846e-05,6.30846e-05,6.30846e-05
96,368.504,0.69258,0.50025,0.87166,0.67864,0.6752,0.67108,0.47602,1.1689,1.21319,1.14821,5.40855e-05,5.40855e-05,5.40855e-05
97,371.884,0.70416,0.52034,0.87826,0.75546,0.61853,0.67104,0.47731,1.17266,1.2071,1.15311,4.50864e-05,4.50864e-05,4.50864e-05
98,375.367,0.68578,0.49777,0.87146,0.7591,0.62246,0.66685,0.47569,1.16793,1.21552,1.14625,3.60873e-05,3.60873e-05,3.60873e-05
99,378.886,0.69543,0.50543,0.87477,0.74564,0.6207,0.66515,0.47587,1.16279,1.21804,1.14697,2.70882e-05,2.70882e-05,2.70882e-05
100,382.376,0.69361,0.49877,0.87267,0.71205,0.64313,0.66444,0.47234,1.16855,1.21738,1.14803,1.80891e-05,1.80891e-05,1.80891e-05
